X,Y,FID,FACILITY,STREET,CITY,ST,ZIP,REVISED_DT,FAC_TYPE,OFFC_CODE,D_PHONE,DCFSLBL,ZIPTXT,GMAP_URL
-13168132.7025191,4023887.10602377,1,Vermont Corridor,8300 S. Vermont Avenue,Los Angeles,CA,90044,2017/05/04 00:00:00+00,Regional Office,S6219,(323) 965-7060,Vermont Corridor,90044,"https://www.google.com/maps/place/33.9634,-118.2913"
-13153893.2639405,4035147.32648109,2,Corporate Place,2525 Corporate Place,Monterey Park,CA,91754,2017/05/04 00:00:00+00,Other, , ,Corporate Place,91754,"https://www.google.com/maps/place/34.0472,-118.1634"
-13153900.2339393,4026636.51740324,3,Belvedere,5835 S. Eastern Avenue,Commerce,CA,90040,2017/05/04 00:00:00+00,Regional Office,S3253,(323) 725-4401,Belvedere,90040,"https://www.google.com/maps/place/33.9839,-118.1635"
-13144428.8436541,4021092.75892725,4,Santa Fe Springs,10355 Slusher Drive,Santa Fe Springs,CA,90670,2017/05/04 00:00:00+00,Regional Office,S4261,(562) 903-5000,SF Springs,90670,"https://www.google.com/maps/place/33.9426,-118.0784"
-13143092.0957337,4017569.66562966,5,"Norwalk, BIS",12440 Imperial Hwy,Norwalk,CA,90650,2017/05/04 00:00:00+00,Other, ,(562) 345-6600,BIS,90650,"https://www.google.com/maps/place/33.9163,-118.0664"
-13136308.1752032,4038630.88544787,6,El Monte,4024 Durfee Avenue,El Monte,CA,91732,2017/05/04 00:00:00+00,Regional Office,S1280,(626) 455-4660,El Monte,91732,"https://www.google.com/maps/place/34.0732,-118.0055"
-13150029.5310442,4118387.53000067,7,Holston,176 Holston Drive,Lancaster,CA,93535,2017/05/04 00:00:00+00,Other, , ,Holston,93535,"https://www.google.com/maps/place/34.6645,-118.1287"
-13113635.2465023,4037515.09022953,8,Pomona,801 Corporate Center Drive,Pomona,CA,91768,2017/05/04 00:00:00+00,Regional Office,S1255,(909) 802-1300,Pomona,91768,"https://www.google.com/maps/place/34.0649,-117.8018"
-13165370.7138948,4032944.84480827,9,Broadway (Metro North DCFS),1933 S. Broadway,Los Angeles,CA,90007,2017/05/04 00:00:00+00,Regional Office,S3239,(213) 763-1440,Metro North,90007,"https://www.google.com/maps/place/34.0308,-118.2665"
-13169232.6107561,4037069.25456385,10,Metroplex,3530 Wilshire Blvd,Los Angeles,CA,90010,2017/05/04 00:00:00+00,Other, , ,Metroplex,90010,"https://www.google.com/maps/place/34.0615,-118.3012"
-13152362.8810588,4121630.90836317,11,Antelope Valley - Children's Court,1040 W. Avenue J,Lancaster,CA,93534,2017/05/04 00:00:00+00,Other, , ,AV Children's Court,93534,"https://www.google.com/maps/place/34.6885,-118.1497"
-13152814.9154719,4006262.29254918,12,Lakewood (South County DCFS),4060 Watson Plaza Drive,Lakewood,CA,90712,2017/05/04 00:00:00+00,Regional Office,S7207,(562) 497-3500,South County,90712,"https://www.google.com/maps/place/33.832,-118.1537"
-13199515.7866048,4060033.47413777,13,Chatsworth (West San Fernando Valley DCFS),20151 Nordhoff Street,Chatsworth,CA,91311,2017/05/04 00:00:00+00,Regional Office,S5212,(818) 717-4000,W San Fernando Vlly,91311,"https://www.google.com/maps/place/34.2323,-118.5733"
-13154236.0368363,4036608.65385848,14,Edelman's Court - Children's Court,201 Center Plaza Drive,Monterey Park,CA,91754,2017/05/04 00:00:00+00,Other, , ,Edelman's Court,91754,"https://www.google.com/maps/place/34.0581,-118.1665"
-13202381.4408666,4088215.37623286,15,Santa Clarita,28490 Avenue Stanford,Santa Clarita,CA,91355,2017/05/04 00:00:00+00,Regional Office,S8251,(661) 702-6262,Santa Clarita,91355,"https://www.google.com/maps/place/34.4413,-118.599"
-13164539.2294949,4006426.73122755,16,Compton-Carson,1 Civic Plaza Drive,Carson,CA,90745,2017/05/04 00:00:00+00,Regional Office,S1277,(310) 233-1000,Compton-Carson,90745,"https://www.google.com/maps/place/33.8331,-118.2590"
-13175012.1888093,4019321.44514954,17,Hawthorne,5100 Goldleaf Circle,Los Angeles,CA,90056,2017/05/04 00:00:00+00,Regional Office,S2218,(323) 290-8060,Hawthorne,90250,"https://www.google.com/maps/place/33.9885,-118.3666"
-13151203.8983169,4048350.18842574,18,Pasadena,532 E. Colorado Blvd,Pasadena,CA,91101,2017/05/04 00:00:00+00,Regional Office,S5252,(626) 229-3500,Pasadena,91101,"https://www.google.com/maps/place/34.1455,-118.1393"
-13120308.771393,4038534.6152638,19,Covina Annex,1373 Center Court Drive,Covina,CA,91724,2017/05/04 00:00:00+00,Other, , ,Covina Annex,91724,"https://www.google.com/maps/place/34.0724,-117.8617"
-13143091.7896878,4037938.38614201,20,Telstar,9320 Telstar Avenue,El Monte,CA,91731,2017/05/04 00:00:00+00,Other, ,(626) 455-4660,Telstar,91731,"https://www.google.com/maps/place/34.068,-118.0664"
-13121663.5812593,4045725.42657027,21,Glendora,725 S. Grand Avenue,Glendora,CA,91740,2017/05/04 00:00:00+00,Regional Office,S1254,(626) 691-1700,Glendora,91740,"https://www.google.com/maps/place/34.1259,-117.8739"
-13172499.9242112,4005257.2604558,22,Torrance,2325 Crenshaw Blvd,Torrance,CA,90501,2017/05/04 00:00:00+00,Regional Office,S2213,(310) 972-3111,Torrance,90501,"https://www.google.com/maps/place/33.8245,-118.3306"
-13127404.4637273,4037885.42174942,23,Kinship I,421 S. Glendora Ave,West Covina,CA,91790,2017/05/04 00:00:00+00,Other, , ,Kinship I,91790,"https://www.google.com/maps/place/34.0676,-117.9255"
-13175123.8678996,4037224.11589631,24,West Los Angeles,5757 Wilshire Blvd,Los Angeles,CA,90036,2017/05/04 00:00:00+00,Regional Office,S6260,(323) 900-2390,West L.A.,90036,"https://www.google.com/maps/place/34.0627,-118.3541"
-13185679.2512692,4056793.52262786,25,San Fernando Valley (SFV) Multi-Agency Zev Yaroslavsky Family Support Center (Van Nuys DCFS),7555 Van Nuys Blvd,Van Nuys,CA,91405,2017/05/04 00:00:00+00,Regional Office,S5211,(818) 904-8300,Van Nuys,91405,"https://www.google.com/maps/place/34.2082,-118.449"
-13176458.8839197,4027196.57613068,26,Kinship II,5035 W. Slauson Ave,Los Angeles,CA,90056,2017/05/04 00:00:00+00,Other, , ,Kinship II,90056,"https://www.google.com/maps/place/33.988,-118.3661"
-13176505.757,4027257.4902,27,Wateridge,5110 W. Goldleaf Circle,Los Angeles,CA,90056,2017/05/04 00:00:00+00,Regional Office,S2217,(323) 290-8500,Wateridge,90056,"https://www.google.com/maps/place/33.9887,-118.3666"
-13149715.3427721,4119021.79325216,28,Lancaster,300 E. Avenue K-6,Lancaster,CA,93535,2017/05/04 00:00:00+00,Regional Office,S8234,(661) 471-1001,Lancaster,93535,"https://www.google.com/maps/place/34.6692,-118.1259"
-13149772.7455336,4119127.6647298,29,Lancaster Annex,251 E. Avenue K-6,Lancaster,CA,93535,2017/05/04 00:00:00+00,Other, , ,Lancaster Annex,93535,"https://www.google.com/maps/place/34.67,-118.1264"
-13164778.3005345,4034063.42204798,30,DCFS University Training Center,1149 S. Hill Street,Los Angeles,CA,90015,2018/04/05 00:00:00+00,Other, , ,DCFS University,90015,"https://www.google.com/maps/place/34.039189,-118.261299"
-13167998.9570161,4037545.64755643,31,Headquarters Annex,501 Shatto Place,Los Angeles,CA,90020,2022/03/21 00:00:00+00,Other, , ,Headquarters Annex,90020,"https://www.google.com/maps/place/34.0651,-118.2901"
-13149449.0838156,4110781.0210448,32,Palmdale Annex,39959 Sierra Hwy,Palmdale,CA,93550,2017/05/04 00:00:00+00,Other, ,(661) 223-4200,Palmdale,93550,"https://www.google.com/maps/place/34.6083,-118.1235"
-13168143.5571091,4037520.30444427,33,Headquarters,510 S Vermont Ave,Los Angeles,CA,90020,2017/05/04 00:00:00+00,Headquarters, , ,Headquarters,90020,"https://www.google.com/maps/place/34.0650,-118.2912"
-13151707.2866243,4108657.37758007,34,Palmdale,39115 Trade Center Drive,Palmdale,CA,93551,2022/04/28 00:00:00+00,Regional Office,S8236,(661) 581-6000,Palmdale,93551,"https://www.google.com/maps/place/34.5926,-118.1438"
-13116261.9437,4043656.7031,35,San Dimas,955 Overland Court,San Dimas,CA,,2023/12/15 00:00:00+00,Other,,(909) 450-2525,San Dimas,91773,"https://www.google.com/maps/place/34.1106,-117.8254"
